song_id,album_album_id,track_num,track_title,track_length
25,3,1,Stop,04:37
26,3,2,Six Barrel Shotgun,03:05
27,3,3,We’re All In Love,03:38
28,3,4,In Like The Rose,05:22
29,3,5,Ha Ha High Babe,04:13
30,3,6,Generation,05:01
31,3,7,Shade Of Blue,04:22
32,3,8,Us Government,05:31
33,3,9,Suddenly,03:52
34,3,10,Rise Or Fall,04:56
35,3,11,Going Under,03:56
36,3,12,Heart + Soul,07:15
37,4,1,Shuffle Your Feet,02:54
38,4,2,Howl,04:21
39,4,3,Devils Waitin,03:50
40,4,4,Ain’t No Easy Way,02:36
41,4,5,Still Suspicion Holds You Tight,04:24
42,4,6,Fault Line,02:57
43,4,7,Promise,04:46
44,4,8,Weight Of The World,03:41
45,4,9,Restless Sinner,03:12
46,4,10,Gospel Song,04:31
47,4,11,Complicated Situation,02:36
48,4,12,Sympathetic Noise,04:17
49,4,13,The Line,04:55
50,4,14,Open Invitation,03:04
51,5,1,Took Out A Loan,04:16
52,5,2,Berlin,03:11
53,5,3,Weapon Of Choice,02:50
54,5,4,Windows,06:06
55,5,5,Cold Wind,04:18
56,5,6,Not What You Wanted,03:43
57,5,7,666 Conducer,04:01
58,5,8,All You Do Is Talk,05:42
59,5,9,Lien On Your Dreams,04:36
60,5,10,Need Some Air,04:04
61,5,11,Killing The Light,03:55
62,5,12,American X,09:11
63,5,13,Am I Only,04:26
64,6,1,The Effects Of 333,03:33
65,6,2,Still No Answer,05:11
66,6,3,I Know You’re In There,05:41
67,6,4,And With This Comes,05:55
68,6,5,A Sad State,05:01
69,6,6,A Twisted State,04:07
70,6,7,Sedated With Sterilized Tounges,06:37
71,6,8,We’re Not Welcome Alone,07:19
72,6,9,Or Needed,04:38
73,6,10,And When Was Better,07:00
74,7,1,Beat The Devils Tattoo,03:48
75,7,2,Conscience Killer,03:47
76,7,3,Bad Blood,05:11
77,7,4,War Machine,03:59
78,7,5,Sweet Feeling,03:27
79,7,6,Evol,05:54
80,7,7,Mama Taught Me Better,04:46
81,7,8,River Styx,03:56
82,7,9,The Toll,03:39
83,7,10,Aya,05:39
84,7,11,Shadows Keeper,06:12
85,7,12,Long Way Down,04:35
86,7,13,Half-State,10:20
87,8,1,Fire Walker,06:23
88,8,2,Let The Day Begin,04:06
89,8,3,Returning,05:34
90,8,4,Lullaby,04:36
91,8,5,Hate The Taste,03:50
92,8,6,Rival,03:37
93,8,7,Teenage Disease,03:22
94,8,8,Some Kind Of Ghost,03:51
95,8,9,Sometimes The Light,03:20
96,8,10,Funny Games,04:38
97,8,11,Sell It,06:46
98,8,12,Lose Yourself,08:39
99,9,1,DFF,00:00
100,9,2,Spook,00:00
101,9,3,King Of Bones,03:56
102,9,4,Haunt,05:50
103,9,5,Echo,00:00
104,9,6,Ninth Configuration,00:00
105,9,7,Question Of Faith,05:19
106,9,8,Calling Them All Away,00:00
107,9,9,Little Thing Gone Wild,03:19
108,9,10,Circus Bazooko,00:00
109,9,11,Carried From The Start,00:00
110,9,12,All Rise,00:00
111,10,1,Intro,02:31
112,10,2,Berlin,03:40
113,10,3,Weapon Of Choice,02:52
114,10,4,Rise Or Fall,03:55
115,10,5,666 Conducer,06:08
116,10,6,Aint No Easy Way,03:59
117,10,7,Weight Of The World,04:16
118,10,8,Stop,04:53
119,10,9,All You Do Is Talk,05:38
120,10,10,Red Eyes And Tears,04:13
121,10,11,As Sure As The Sun,06:18
122,10,12,American X,09:37
123,10,13,Spread Your Love,04:05
124,10,14,Love Burns,03:25
125,10,15,Mercy,05:51
126,10,16,Dirty Old Town,03:09
127,10,17,Promise,07:13
128,10,18,Six Barrel Shotgun,06:18
129,10,19,Whatever Happened To My Rock n Roll (Punk Song),05:00
130,10,20,Fault Line,03:50
131,10,21,Took Out A Loan,06:33
132,10,22,The Show Is About To Begin,07:29
133,10,23,Heart And Soul,10:43
134,10,23,I Am Only,04:35
135,11,1,Intro,01:06
136,11,2,War Machine,04:01
137,11,3,Mama Taught Me Better,04:26
138,11,4,Red Eyes And Tears,07:08
139,11,5,Bad Blood,05:41
140,11,6,Beat The Devils Tattoo,05:07
141,11,7,Shade Of Blue,04:36
142,11,8,Aint No Easy Way,04:05
143,11,9,Aya,05:29
144,11,10,Berlin,03:38
145,11,11,Weapon Of Choice,03:52
146,11,12,Annabel Lee,04:21
147,11,13,Awake,07:02
148,11,14,Whatever Happened To My Rock n Roll (Punk Song),06:31
149,11,15,Conscience Killer,03:45
150,11,16,Six Barrel Shotgun,05:58
151,11,17,Spread Your Love,04:31
152,11,18,Shuffle Your Feet,03:42
153,11,19,Shadows Keeper,08:08
154,11,20,Open Invitation,10:02
155,12,1,Fire Walker,06:36
156,12,2,Let The Day Begin,04:56
157,12,3,Returning,06:07
158,12,4,Lullaby,06:19
159,12,5,Hate The Taste,04:18
160,12,6,Rival,04:07
161,12,7,Teenage Disease,04:27
162,12,8,Some Kind Of Ghost,04:47
163,12,9,Sometimes The Light,03:17
164,12,10,Funny Games,05:28
165,12,11,Sell It,03:20
166,12,12,Lose Yourself,08:11
167,12,13,Beat The Devils Tattoo,05:48
168,12,14,Aint No Easy Way,03:20
169,12,15,Berlin,03:22
170,12,16,Conscience Killer,04:29
171,12,17,Streaming Gun,05:25
172,12,18,Rifles,05:11
173,12,19,Stop,04:59
174,12,20,White Palms,06:35
175,12,21,Spread Your Love,07:59
176,12,22,Mercy,06:22
177,12,23,Shuffle Your Feet,02:44
178,12,24,Whatever Happened To My Rock n Roll (Punk Song),06:39
179,13,1,Failsafe,03:45
180,13,2,Down Here,03:13
181,13,3,At My Door,03:33
182,13,4,Screaming Gun,04:44
183,13,5,T.V. Loop (Deep Down),05:10
184,14,1,Take Them On On Your Own,05:29
185,14,2,I Told You,04:16
186,14,3,Going Under,03:19
187,14,4,Ha Ha High Babe,04:19
188,14,5,Tonight's With You,03:35
189,14,5,For Murder,03:59
190,14,5,Waiting Here,03:53
191,14,5,The Weight Is More,03:24
192,14,5,In Like the Rose,05:28
193,14,5,Abstract Dragon,13:40
194,14,5,And I'm Aching,03:56
195,14,5,Pretend,03:06
196,15,1,Grind My Bones,03:44
197,15,2,Mercy,04:34
198,15,3,Wishing Well,02:13
199,15,4,Steal A Ride,02:39
200,15,5,Feel It Now,03:04
201,15,6,Pretend,03:03
202,16,1,The Likes Of You,05:11
203,16,2,Vision,05:01
204,16,3,The Shows About To Begin,05:02
205,16,4,MK Ultra,04:25
206,16,5,Whenever Youre Ready,03:12
207,16,6,20 Hours,05:04
208,16,7,Last Chance For Love,04:01
209,17,1,Losing Touch With My Mind,05:30
210,17,2,Hey Man,04:47
211,17,3,Rollercoaster,07:40
212,17,4,Mary Anne,04:05
213,17,5,Little Doll,05:24
214,17,6,2.35,03:10
215,17,7,O.D. Catastrophe,08:57
216,18,1,Take Me To The Other Side,04:28
217,18,2,Walkin' With Jesus,03:43
218,18,3,Ode To Street Hassle,04:01
219,18,4,Ecstasy Symphony,01:54
220,18,5,Transparent Radiation (Flashback),09:03
221,18,6,Feel So Good,05:16
222,18,7,Things'll Never Be The Same,06:05
223,18,8,Come Down Easy,06:46
224,18,9,Call The Doctor,03:52
225,19,1,Honey,03:01
226,19,2,Come Down Softly To My Soul,03:46
227,19,3,How Does It Feel?,07:58
228,19,4,I Believe It,03:19
229,19,5,Revolution,05:57
230,19,6,Let Me Down Gently,04:29
231,19,7,So Hot (Wash Away All Of My Tears),02:38
232,19,8,Suicide,11:03
233,19,9,Lord Can You Hear Me?,04:33
234,19,10,Suicide (Live),12:26
235,19,11,Repeater (How Does It Feel?),05:28
236,20,1,Rollercoaster,05:45
237,20,2,Mary Anne,04:05
238,20,3,Bo Diddley Jam,02:37
239,20,4,02:35,03:33
240,20,5,Walkin' With Jesus,04:33
241,20,6,I Believe It,04:09
242,20,7,Lord Can You Hear Me?,03:22
243,20,8,Things'll Never Be The Same,05:35
244,20,9,Starship,03:50
245,20,10,Revolution,06:36
246,20,11,Suicide,15:52
247,20,12,Take Me To The Other Side,05:00
248,20,13,Suicide (Version 2),16:00
249,21,1,Big City (Everybody I Know Can Be Found Here),10:51
250,21,2,Just To See You Smile (Orchestral Mix),03:19
251,21,3,I Love You,05:32
252,21,4,Set Me Free / Ive Got The Key,05:11
253,21,5,Set Me Free (Reprise),01:50
254,21,6,Why Couldnt I See,06:37
255,21,7,Just To See You Smile (Instrumental),03:19
256,21,8,When Tomorrow Hits,04:26
257,21,9,Feel So Sad (Reprise),02:46
258,21,10,Hypnotized,05:57
259,21,11,Sometimes,00:36
260,21,12,Feelin Just Fine (Head Full Of Shit),04:33
261,21,13,Billy Whizz / Blue1,07:33
262,21,14,Drive / Feel So Sad,05:34
263,21,15,Feelin Just Fine (Alternative Mix),04:30
264,22,1,An Evening Of Contemporary Sitar Music,44:20:00
265,22,2,Ecstasy Live Intro Theme,08:15
266,22,3,Ecstasy In Slow Motion,09:26
267,22,4,Spacemen Jam,15:42
268,23,1,Astronomy Domine,04:12
269,23,2,Lucifer Sam,03:07
270,23,3,Matilda Mother,03:07
271,23,4,Flaming,02:45
272,23,5,Pow R. Toc H.,04:26
273,23,6,Take Up Thy Stethoscope And Walk,03:06
274,23,7,Interstellar Overdrive,09:41
275,23,8,The Gnome,02:13
276,23,9,Chapter 24,03:41
277,23,10,Scarecrow,02:10
278,23,11,Bike,03:22
279,24,1,Let There Be More Light,05:38
280,24,2,Remember A Day,04:33
281,24,3,Set The Controls For The Heart Of The Sun,05:27
282,24,4,Corporal Clegg,04:12
283,24,5,A Saucerful Of Secrets,11:59
284,24,6,See-Saw,04:36
285,24,7,Jugband Blues,03:00
286,25,1,Cirrus Minor,05:15
287,25,2,The Nile Song,03:25
288,25,3,Crying Song,03:34
289,25,4,Up The Khyber,02:13
290,25,5,Green Is The Colour,02:58
291,25,6,Cymbaline,04:49
292,25,7,Party Sequence,01:10
293,25,8,Main Theme,05:31
294,25,9,Ibiza Bar,03:16
295,25,10,More Blues,02:12
296,25,11,Quicksilver,07:10
297,25,12,A Spanish Piece,01:05
298,25,13,Dramatic Theme,02:16
299,26,1,Astronomy Domine (live),08:32
300,26,2,Careful With That Axe Eugene (live),08:49
301,26,3,Set The Controls For The Heart Of The Sun (live),09:27
302,26,4,A Saucerful Of Secrets (live),12:51
303,26,5,Sysyphus Part 1,01:09
304,26,6,Sysyphus Part 2,03:30
305,26,7,Sysyphus Part 3,01:49
306,26,8,Sysyphus Part 4,06:59
307,26,9,Grantchester Meadows,07:27
308,26,10,Several Species Of Small Furry Animals Gathered Together....,04:58
309,26,11,The Narrow Way Part 1,03:28
310,26,12,The Narrow Way Part 2,02:53
311,26,13,The Narrow Way Part 3,05:57
312,26,14,The Grand Viziers Garden Party Part 1 (Entrance),00:59
313,26,15,The Grand Viziers Garden Party Part 2 (Entertainment),07:06
314,26,16,The Grand Viziers Garden Party Part 3 (Exit),00:42
315,27,1,Atom Heart Mother,23:42
316,27,2,If,04:30
317,27,3,Summer 68,05:29
318,27,4,Fat Old Sun,05:23
319,27,5,Alans Psychedelic Breakfast,13:01
320,28,1,One Of These Days,05:50
321,28,2,A Pillow Of Winds,05:10
322,28,3,Fearless,06:03
323,28,4,San Tropez,03:42
324,28,5,Seamus,02:09
325,28,6,Echoes,23:31
326,29,1,Obscured By Clouds,03:04
327,29,2,When Youre In,02:27
328,29,3,Burning Bridges,03:28
329,29,4,The Gold Its In The...,03:06
330,29,5,Mudmen,05:08
331,29,6,Wots... Uh The Deal,04:19
332,29,7,Childhoods End,04:34
333,29,8,Free Four,04:15
334,29,9,Stay,04:06
335,29,10,Absolutely Curtains,05:51
336,30,1,Speak To Me,01:30
337,30,2,Breathe (In The Air),02:43
338,30,3,On The Run,03:30
339,30,4,Time,06:53
340,30,5,The Great Gig In The Sky,04:15
341,30,6,Money,06:30
342,30,7,Us And Them,07:51
343,30,8,Any Colour You Like,03:24
344,30,9,Brain Damage,03:50
345,30,10,Eclipse,01:45
346,31,1,Shine On You Crazy Diamond Parts 1-5,13:40
347,31,2,Welcome To The Machine,07:31
348,31,3,Have A Cigar,05:08
349,31,4,Wish You Were Here,05:34
350,31,5,Shine On You Crazy Diamond Parts 6-9,12:31
351,32,1,Pigs On The Wing Part 1,01:24
352,32,2,Dogs,17:01
353,32,3,Pigs (Three Different Ones),11:20
354,32,4,Sheep,10:22
355,32,5,Pigs On The Wing Part 2,01:24
356,33,1,In The Flesh,03:22
357,33,2,The Thin Ice,02:25
358,33,3,Another Brick In The Wall Part 1,03:46
359,33,4,The Happiest Days Of Our Lives,01:21
360,33,5,Another Brick In The Wall Part 2,04:00
361,33,6,Mother,06:00
362,33,7,Goodbye Blue Sky,02:53
363,33,8,Empty Spaces,02:04
364,33,9,Young Lust,03:29
365,33,10,One Of My Turns,03:37
366,33,11,Dont Leave Me Now,04:16
367,33,12,Another Brick In The Wall Part 3,01:43
368,33,13,Goodbye Cruel World,00:45
369,33,14,Hey You,04:44
370,33,15,Is There Anybody Out There?,02:48
371,33,16,Nobody Home,03:37
372,33,17,Vera,01:22
373,33,18,Bring The Boys Back Home,01:17
374,33,19,Comfortably Numb,06:20
375,33,20,The Show Must Go On,01:37
376,33,21,In The Flesh,04:15
377,33,22,Run Like Hell,04:23
378,33,23,Waiting For The Worms,03:56
379,33,24,Stop,00:33
380,33,25,The Trial,05:18
381,33,26,Outside The Wall,01:43
382,34,1,The Post War Dream,03:02
383,34,2,Your Possible Pasts,04:22
384,34,3,When The Tigers Broke Free,01:23
385,34,4,The Heros Return,02:56
386,34,5,The Gunners Dream,05:07
387,34,6,Paranoid Eyes,03:40
388,34,7,Get Your Filthy Hands Off My Desert,01:19
389,34,8,The Fletcher Memorial Home,04:11
390,34,9,Southampton Dock,02:13
391,34,10,The Final Cut,04:46
392,34,11,Not Now John,05:01
393,34,12,Two Suns In The Sunset,05:14
394,35,1,Signs Of Life,04:24
395,35,2,Learning To Fly,04:53
396,35,3,The Dogs Of War,06:05
397,35,4,One Slip,05:10
398,35,5,On The Turning Away,05:42
399,35,6,Yet Another Movie,06:13
400,35,7,Round And Around,01:13
401,35,8,A New Machine Part 1,01:46
402,35,9,Terminal Frost,06:17
403,35,10,A New Machine Part 2,00:38
404,35,11,Sorrow,08:46
405,36,1,Shine On You Crazy Diamond,11:54
406,36,2,Learning To Fly,05:27
407,36,3,Yet Another Movie,06:21
408,36,4,Round And Around,00:33
409,36,5,Sorrow,09:28
410,36,6,The Dogs Of War,07:19
411,36,7,On The Turning Away,07:57
412,36,8,One Of These Days,06:16
413,36,9,Time,05:16
414,36,10,Wish You Were Here,04:49
415,36,11,Us And Them,07:22
416,36,12,Money,09:52
417,36,13,Another Brick In The Wall Part 2,05:29
418,36,14,Comfortably Numb,08:56
419,36,15,Run Like Hell,07:12
420,37,1,Cluster One,05:58
421,37,2,What Do You Want From Me,04:21
422,37,3,Poles Apart,07:04
423,37,4,Marooned,05:28
424,37,5,A Great Day For Freedom,04:18
425,37,6,Wearing The Inside Out,06:48
426,37,7,Take It Back,06:12
427,37,8,Coming Back To Life,06:19
428,37,9,Keep Talking,06:11
429,37,10,Lost For Words,05:14
430,37,11,High Hopes,07:58
431,38,1,Shine On You Crazy Diamond,13:35
432,38,2,Astronomy Domine,04:20
433,38,3,What Do You Want From Me,04:09
434,38,4,Learning To Fly,05:15
435,38,5,Keep Talking,06:52
436,38,6,Coming Back To Life,06:56
437,38,7,Hey You,04:39
438,38,8,A Great Day For Freedom,04:30
439,38,9,Sorrow,10:49
440,38,10,High Hopes,07:52
441,38,11,Another Brick In The Wall Part 2,07:07
442,38,12,Speak To Me,02:30
443,38,13,Breathe (In The Air),02:33
444,38,14,On The Run,03:47
445,38,15,Time,06:46
446,38,16,The Great Gig In The Sky,05:52
447,38,17,Money,08:54
448,38,18,Us And Them,06:57
449,38,19,Any Colour You Like,03:21
450,38,20,Brain Damage,03:45
451,38,21,Eclipse,02:37
452,38,22,Wish You Were Here,06:35
453,38,23,Comfortably Numb,09:29
454,38,24,Run Like Hell,08:36
455,39,1,Master Of Ceremonies,01:14
456,39,2,In The Flesh?,03:00
457,39,3,The Thin Ice,02:50
458,39,4,Another Brick In The Wall (Part 1),04:13
459,39,5,The Happiest Days Of Our Lives,04:13
460,39,6,Another Brick In The Wall (Part 2),06:19
461,39,7,Mother,07:54
462,39,8,Goodbye Blue Sky,03:15
463,39,9,Empty Spaces,02:15
464,39,10,What Shall We Do Now?,01:41
465,39,11,Young Lust,05:17
466,39,12,One Of My Turns,03:41
467,39,13,Don't Leave Me Now,04:08
468,39,14,Another Brick In The Wall (Part 3),01:15
469,39,15,The Last Few Bricks,03:26
470,39,16,Goodbye Cruel World,01:41
471,39,17,Hey You,04:55
472,39,18,Is There Anybody Out There?,03:09
473,39,19,Nobody Home,03:16
474,39,20,Vera,01:20
475,39,21,Bring The Boys Back Home,01:28
476,39,22,Comfortably Numb,07:26
477,39,23,The Show Must Go On,02:35
478,39,24,MC: Atmos,00:38
479,39,25,In The Flesh,04:22
480,39,26,Run Like Hell,07:06
481,39,27,Waiting For The Worms,04:14
482,39,28,Stop,00:33
483,39,29,The Trial,06:03
484,39,30,Outside The Wall,01:51
485,40,1,Things Left Unsaid,04:27
486,40,2,Its What We Do,06:17
487,40,3,Ebb and Flow,01:56
488,40,4,Sum,04:48
489,40,5,Skins,02:37
490,40,6,Unsung,01:07
491,40,7,Anisina,03:17
492,40,8,The Lost Art of Conversation,01:43
493,40,9,On Noodle Street,01:42
494,40,10,Night Light,00:42
495,40,11,Allons-y (1),01:57
496,40,12,Autumn 68,01:35
497,40,13,Allons-y (2),01:32
498,40,14,Talkin Hawkin,03:30
499,40,15,Calling,03:38
500,40,16,Eyes to Pearls,01:51
501,40,17,Surfacing,02:46
502,40,18,Louder Than Words,06:37
